,BUILDING TYPE,TOTAL KWH,PREDICTION
19585,1,46769.0,7079.000000034741
19586,1,97757.0,14152.00000000675
19587,1,139423.0,22058.00000014947
19588,1,99579.0,13880.000000059814
19590,1,15592.0,1690.9999998996573
19591,1,33836.0,3221.999999969301
19592,1,102990.0,14367.000000065145
19593,1,118913.0,10560.999999959371
19594,1,98644.0,10052.000000015134
19596,1,85924.0,12196.000000359636
19597,0,378827.0,40819.00000115233
19598,0,163083.0,19972.000000062697
19599,1,135307.0,17455.00000020976
19600,0,179640.0,24033.000000373464
19601,1,96510.0,8988.000000245527
19602,1,345475.0,40943.00000094599
19605,0,3227422.0,392938.000011218
19607,1,993998.0,126192.00001282145
19609,0,1108161.0,121253.00000280613
19613,0,752840.0,92936.00000269654
19615,1,88063.0,10394.000000141677
19616,0,2332334.0,241505.00001420724
19617,0,527237.0,49090.000001422966
19618,1,262913.0,34555.00000115605
19619,1,69346.0,8817.000000422227
19620,0,688098.0,76612.00000197314
19621,0,684728.0,85473.00000219443
19622,0,155335.0,22547.000000406413
19626,0,1888283.0,208232.0000069481
19629,0,611565.0,72304.00000108982
19631,0,281788.0,36411.000000798165
19632,1,541963.0,69407.000000641
19633,0,137688.0,15531.99999994668
19635,0,109450.0,9387.000000917402
19637,0,517913.0,31397.00000223112
19639,0,452052.0,38780.000001319655
19640,1,20371.0,2772.999999910786
19641,0,2217055.0,283933.00001007173
19642,0,1938942.0,183262.00000373658
19653,0,73292.0,5408.000000015636
19654,0,302109.0,34971.0000007362
19655,1,66199.0,8160.000000139344
19656,0,75419.0,7851.999999980377
19658,1,37035.0,5820.999999801525
19659,1,24307.0,2852.0000000262917
19661,1,126979.0,20694.000000254495
19662,1,78830.0,6818.000000029966
19663,0,77200.0,7020.000000218952
19665,1,55875.0,4446.00000008942
19666,1,133489.0,11101.000000538972
19668,1,82056.0,9018.000000071417
19669,1,77848.0,10574.00000025285
19671,0,64234.0,7275.000000201959
19672,0,79951.0,12196.00000034374
19674,1,176033.0,24523.000000569555
19675,1,137980.0,14826.000000283053
19676,1,100102.0,11392.000000222848
19678,1,120784.0,13628.000000157033
19681,1,46070.0,5145.000000002192
19682,1,59143.0,8896.000000014268
19683,1,54659.0,6073.000000037211
19684,1,62571.0,10258.999999960919
19687,1,64381.0,6806.999999971884
19688,1,36780.0,5223.00000000201
19689,0,242019.0,29073.000000655873
19692,1,61317.0,9106.000000305756
19694,1,79903.0,8943.000000125463
19695,1,37668.0,3140.0000000343352
19696,1,65348.0,8234.999999987338
19697,1,88880.0,14156.000000099357
19698,1,21108.0,1104.999999993819
19699,1,40036.0,6290.9999999398515
19700,0,66446.0,4901.000000101954
19704,1,55481.0,6119.000000015627
19705,0,52916.0,7869.000000725528
19706,1,56074.0,9090.000000228363
19707,1,20402.0,2597.999999941134
19708,1,64074.0,9586.000000047308
19709,0,98406.0,14177.000000463784
19714,0,364755.0,41697.000001040804
19715,1,77758.0,8802.000000370137
19716,0,38461.0,5723.000000021801
19717,1,104102.0,13951.000000156277
19718,1,138657.0,14792.000000187354
19719,1,21471.0,2744.9999999438387
19720,0,48058.0,5578.000000189637
19722,1,70294.0,9397.000000097121
19723,1,81585.0,13151.000000043405
19725,1,73101.0,5693.0000003803325
19726,1,107897.0,15319.000000286233
19728,0,43211.0,3940.0000000759974
19730,1,108679.0,14649.000000192576
